antecedents,consequents,support,confidence
frozenset({'FEMALE'}),frozenset({'No mortgage'}),0.3416666666666667,0.6833333333333333
frozenset({'No mortgage'}),frozenset({'FEMALE'}),0.3416666666666667,0.5242966751918159
frozenset({'FEMALE'}),"frozenset({'(-0.003, 1.0]'})",0.33,0.66
frozenset({'Has current_act'}),frozenset({'FEMALE'}),0.38333333333333336,0.5054945054945056
frozenset({'FEMALE'}),frozenset({'Has current_act'}),0.38333333333333336,0.7666666666666667
frozenset({'FEMALE'}),frozenset({'Yes save_act'}),0.3433333333333333,0.6866666666666666
frozenset({'FEMALE'}),frozenset({'Is Married'}),0.325,0.65
frozenset({'FEMALE'}),frozenset({'No pep'}),0.2833333333333333,0.5666666666666667
frozenset({'No pep'}),frozenset({'FEMALE'}),0.2833333333333333,0.5214723926380368
"frozenset({'Has current_act', 'FEMALE'})",frozenset({'No mortgage'}),0.265,0.691304347826087
"frozenset({'Has current_act', 'No mortgage'})",frozenset({'FEMALE'}),0.265,0.5282392026578073
"frozenset({'FEMALE', 'No mortgage'})",frozenset({'Has current_act'}),0.265,0.775609756097561
frozenset({'FEMALE'}),"frozenset({'Has current_act', 'No mortgage'})",0.265,0.53
"frozenset({'Yes save_act', 'FEMALE'})",frozenset({'Has current_act'}),0.26666666666666666,0.7766990291262136
"frozenset({'Yes save_act', 'Has current_act'})",frozenset({'FEMALE'}),0.26666666666666666,0.5015673981191223
"frozenset({'Has current_act', 'FEMALE'})",frozenset({'Yes save_act'}),0.26666666666666666,0.6956521739130435
frozenset({'FEMALE'}),"frozenset({'Yes save_act', 'Has current_act'})",0.26666666666666666,0.5333333333333333
"frozenset({'(4956.094, 24386.173]'})","frozenset({'(-0.003, 1.0]'})",0.31833333333333336,0.6701754385964913
"frozenset({'(4956.094, 24386.173]'})",frozenset({'No mortgage'}),0.31333333333333335,0.6596491228070176
"frozenset({'(4956.094, 24386.173]'})",frozenset({'No Car'}),0.27,0.568421052631579
frozenset({'No Car'}),"frozenset({'(4956.094, 24386.173]'})",0.27,0.5328947368421052
"frozenset({'(4956.094, 24386.173]'})",frozenset({'Has current_act'}),0.35833333333333334,0.7543859649122807
"frozenset({'(4956.094, 24386.173]'})",frozenset({'Is Married'}),0.325,0.6842105263157895
"frozenset({'(4956.094, 24386.173]'})",frozenset({'No pep'}),0.29333333333333333,0.6175438596491228
frozenset({'No pep'}),"frozenset({'(4956.094, 24386.173]'})",0.29333333333333333,0.5398773006134969
"frozenset({'(4956.094, 24386.173]'})",frozenset({'Yes save_act'}),0.285,0.6
"frozenset({'(-0.003, 1.0]'})",frozenset({'Has pep'}),0.3433333333333333,0.5175879396984925
frozenset({'Has pep'}),"frozenset({'(-0.003, 1.0]'})",0.3433333333333333,0.7518248175182481
frozenset({'Has pep'}),frozenset({'No mortgage'}),0.30333333333333334,0.6642335766423358
frozenset({'Has pep'}),frozenset({'Has current_act'}),0.3516666666666667,0.7700729927007299
frozenset({'Has pep'}),frozenset({'Yes save_act'}),0.29833333333333334,0.6532846715328468
"frozenset({'Has current_act', '(-0.003, 1.0]'})",frozenset({'Has pep'}),0.26,0.52
"frozenset({'Has current_act', 'Has pep'})","frozenset({'(-0.003, 1.0]'})",0.26,0.7393364928909952
"frozenset({'(-0.003, 1.0]', 'Has pep'})",frozenset({'Has current_act'}),0.26,0.7572815533980582
frozenset({'Has pep'}),"frozenset({'Has current_act', '(-0.003, 1.0]'})",0.26,0.5693430656934306
frozenset({'INNER_CITY'}),"frozenset({'(-0.003, 1.0]'})",0.31,0.6914498141263941
frozenset({'INNER_CITY'}),frozenset({'No mortgage'}),0.2916666666666667,0.650557620817844
frozenset({'INNER_CITY'}),frozenset({'Has current_act'}),0.3416666666666667,0.7620817843866171
frozenset({'INNER_CITY'}),frozenset({'Is Married'}),0.2966666666666667,0.6617100371747213
frozenset({'INNER_CITY'}),frozenset({'Yes save_act'}),0.28833333333333333,0.6431226765799257
"frozenset({'(34.333, 50.667]'})",frozenset({'Has current_act'}),0.2633333333333333,0.7383177570093457
frozenset({'Not Married'}),frozenset({'Has current_act'}),0.27,0.7941176470588235
frozenset({'Has current_act'}),frozenset({'Is Married'}),0.48833333333333334,0.643956043956044
frozenset({'Is Married'}),frozenset({'Has current_act'}),0.48833333333333334,0.7398989898989898
frozenset({'Yes save_act'}),frozenset({'Is Married'}),0.46166666666666667,0.6690821256038648
frozenset({'Is Married'}),frozenset({'Yes save_act'}),0.46166666666666667,0.6994949494949495
frozenset({'Is Married'}),"frozenset({'(-0.003, 1.0]'})",0.4483333333333333,0.6792929292929292
"frozenset({'(-0.003, 1.0]'})",frozenset({'Is Married'}),0.4483333333333333,0.6758793969849246
"frozenset({'Yes save_act', 'Is Married'})",frozenset({'Has current_act'}),0.3433333333333333,0.7436823104693141
"frozenset({'Yes save_act', 'Has current_act'})",frozenset({'Is Married'}),0.3433333333333333,0.64576802507837
"frozenset({'Is Married', 'Has current_act'})",frozenset({'Yes save_act'}),0.3433333333333333,0.7030716723549488
frozenset({'Is Married'}),"frozenset({'Yes save_act', 'Has current_act'})",0.3433333333333333,0.5202020202020201
"frozenset({'Has current_act', 'Is Married'})","frozenset({'(-0.003, 1.0]'})",0.33,0.6757679180887373
"frozenset({'Has current_act', '(-0.003, 1.0]'})",frozenset({'Is Married'}),0.33,0.66
"frozenset({'Is Married', '(-0.003, 1.0]'})",frozenset({'Has current_act'}),0.33,0.7360594795539034
frozenset({'Is Married'}),"frozenset({'Has current_act', '(-0.003, 1.0]'})",0.33,0.5
"frozenset({'Yes save_act', 'Is Married'})","frozenset({'(-0.003, 1.0]'})",0.30666666666666664,0.6642599277978338
"frozenset({'Yes save_act', '(-0.003, 1.0]'})",frozenset({'Is Married'}),0.30666666666666664,0.6840148698884758
"frozenset({'Is Married', '(-0.003, 1.0]'})",frozenset({'Yes save_act'}),0.30666666666666664,0.6840148698884758
frozenset({'Has current_act'}),frozenset({'No pep'}),0.4066666666666667,0.5362637362637362
frozenset({'No pep'}),frozenset({'Has current_act'}),0.4066666666666667,0.7484662576687117
frozenset({'Is Married'}),frozenset({'No pep'}),0.4033333333333333,0.611111111111111
frozenset({'No pep'}),frozenset({'Is Married'}),0.4033333333333333,0.7423312883435582
frozenset({'Yes save_act'}),frozenset({'No pep'}),0.39166666666666666,0.567632850241546
frozenset({'No pep'}),frozenset({'Yes save_act'}),0.39166666666666666,0.7208588957055214
frozenset({'No pep'}),frozenset({'No mortgage'}),0.34833333333333333,0.6411042944785276
frozenset({'No mortgage'}),frozenset({'No pep'}),0.34833333333333333,0.5345268542199488
frozenset({'No pep'}),"frozenset({'(-0.003, 1.0]'})",0.32,0.588957055214724
"frozenset({'Has current_act', 'Is Married'})",frozenset({'No pep'}),0.295,0.6040955631399317
"frozenset({'Has current_act', 'No pep'})",frozenset({'Is Married'}),0.295,0.7254098360655737
"frozenset({'Is Married', 'No pep'})",frozenset({'Has current_act'}),0.295,0.731404958677686
frozenset({'No pep'}),"frozenset({'Has current_act', 'Is Married'})",0.295,0.5429447852760736
"frozenset({'Yes save_act', 'No pep'})",frozenset({'Has current_act'}),0.29833333333333334,0.7617021276595745
"frozenset({'Yes save_act', 'Has current_act'})",frozenset({'No pep'}),0.29833333333333334,0.5611285266457681
"frozenset({'Has current_act', 'No pep'})",frozenset({'Yes save_act'}),0.29833333333333334,0.7336065573770492
frozenset({'No pep'}),"frozenset({'Yes save_act', 'Has current_act'})",0.29833333333333334,0.549079754601227
"frozenset({'Yes save_act', 'Is Married'})",frozenset({'No pep'}),0.2916666666666667,0.631768953068592
"frozenset({'Yes save_act', 'No pep'})",frozenset({'Is Married'}),0.2916666666666667,0.7446808510638299
"frozenset({'Is Married', 'No pep'})",frozenset({'Yes save_act'}),0.2916666666666667,0.7231404958677686
frozenset({'No pep'}),"frozenset({'Yes save_act', 'Is Married'})",0.2916666666666667,0.5368098159509203
"frozenset({'Is Married', 'No pep'})",frozenset({'No mortgage'}),0.285,0.7066115702479339
"frozenset({'Is Married', 'No mortgage'})",frozenset({'No pep'}),0.285,0.6551724137931034
"frozenset({'No mortgage', 'No pep'})",frozenset({'Is Married'}),0.285,0.8181818181818181
frozenset({'No pep'}),"frozenset({'Is Married', 'No mortgage'})",0.285,0.5245398773006135
"frozenset({'Has current_act', 'No pep'})",frozenset({'No mortgage'}),0.2633333333333333,0.6475409836065573
"frozenset({'Has current_act', 'No mortgage'})",frozenset({'No pep'}),0.2633333333333333,0.5249169435215946
"frozenset({'No mortgage', 'No pep'})",frozenset({'Has current_act'}),0.2633333333333333,0.7559808612440191
"frozenset({'Is Married', '(-0.003, 1.0]'})",frozenset({'No pep'}),0.26,0.5799256505576209
"frozenset({'Is Married', 'No pep'})","frozenset({'(-0.003, 1.0]'})",0.26,0.6446280991735538
"frozenset({'(-0.003, 1.0]', 'No pep'})",frozenset({'Is Married'}),0.26,0.8125
frozenset({'MALE'}),frozenset({'Has current_act'}),0.375,0.75
frozenset({'Is Married'}),frozenset({'MALE'}),0.335,0.5075757575757576
frozenset({'MALE'}),frozenset({'Is Married'}),0.335,0.67
frozenset({'MALE'}),frozenset({'No pep'}),0.26,0.52
"frozenset({'(-0.003, 1.0]'})",frozenset({'MALE'}),0.3333333333333333,0.5025125628140703
frozenset({'MALE'}),"frozenset({'(-0.003, 1.0]'})",0.3333333333333333,0.6666666666666666
frozenset({'MALE'}),frozenset({'No mortgage'}),0.31,0.62
frozenset({'Yes save_act'}),frozenset({'MALE'}),0.3466666666666667,0.5024154589371981
frozenset({'MALE'}),frozenset({'Yes save_act'}),0.3466666666666667,0.6933333333333334
"frozenset({'Yes save_act', 'MALE'})",frozenset({'Has current_act'}),0.265,0.764423076923077
"frozenset({'Has current_act', 'MALE'})",frozenset({'Yes save_act'}),0.265,0.7066666666666667
frozenset({'MALE'}),"frozenset({'Yes save_act', 'Has current_act'})",0.265,0.53
frozenset({'Has Car'}),frozenset({'Has current_act'}),0.36666666666666664,0.7432432432432432
frozenset({'Has Car'}),frozenset({'Is Married'}),0.3233333333333333,0.6554054054054054
frozenset({'Has Car'}),frozenset({'No pep'}),0.2633333333333333,0.5337837837837838
frozenset({'Yes save_act'}),frozenset({'Has Car'}),0.34833333333333333,0.5048309178743962
frozenset({'Has Car'}),frozenset({'Yes save_act'}),0.34833333333333333,0.706081081081081
frozenset({'Has Car'}),frozenset({'No mortgage'}),0.3233333333333333,0.6554054054054054
frozenset({'Has Car'}),"frozenset({'(-0.003, 1.0]'})",0.31833333333333336,0.6452702702702703
"frozenset({'Has current_act', 'Yes save_act'})",frozenset({'Has Car'}),0.26666666666666666,0.5015673981191223
"frozenset({'Has current_act', 'Has Car'})",frozenset({'Yes save_act'}),0.26666666666666666,0.7272727272727273
"frozenset({'Yes save_act', 'Has Car'})",frozenset({'Has current_act'}),0.26666666666666666,0.7655502392344498
frozenset({'Has Car'}),"frozenset({'Has current_act', 'Yes save_act'})",0.26666666666666666,0.5405405405405406
"frozenset({'(24386.173, 43758.137]'})",frozenset({'Has current_act'}),0.295,0.7531914893617021
"frozenset({'(24386.173, 43758.137]'})",frozenset({'Yes save_act'}),0.27166666666666667,0.6936170212765957
"frozenset({'(24386.173, 43758.137]'})","frozenset({'(-0.003, 1.0]'})",0.2633333333333333,0.6723404255319149
frozenset({'Yes save_act'}),frozenset({'Has current_act'}),0.5316666666666666,0.7705314009661836
frozenset({'Has current_act'}),frozenset({'Yes save_act'}),0.5316666666666666,0.701098901098901
"frozenset({'(4956.094, 24386.173]'})","frozenset({'(17.951, 34.333]'})",0.29,0.6105263157894737
"frozenset({'(17.951, 34.333]'})","frozenset({'(4956.094, 24386.173]'})",0.29,0.8923076923076922
